编号,标题,链接
96,【面试高频系列】修改数据范围，可以从「简单 BFS」变为「挖掘性质」的贪心 DP 题,https://zhuanlan.zhihu.com/p/372133712
97,利用「二段性」找分割点，以及优化 check 函数,https://zhuanlan.zhihu.com/p/371590337
98,「树状数组」&「前缀和」，以及如何考虑「区间求值」问题,https://zhuanlan.zhihu.com/p/371587615
99,剪枝的艺术 & 调参的艺术,https://zhuanlan.zhihu.com/p/370690961
100,【面试高频系列】可变形的经典题，修改不同的条件则对应不同的原题,https://zhuanlan.zhihu.com/p/370516961
101,【综合笔试题】难度 4/5，一道通过「分类/分子集」来进行优化的思维题,https://zhuanlan.zhihu.com/p/370241420
102,转换为序列 DP 问题进行求解,https://zhuanlan.zhihu.com/p/369825901
103,【综合笔试题】难度 1/5，一道结合了其他数据结构的「链表合并」题,https://zhuanlan.zhihu.com/p/369777192
104,【综合笔试题】难度 1/5，一道「正难则反」的等式变换题,https://zhuanlan.zhihu.com/p/369776863
105,【面试高频系列】一道简单 & 可优化的开场面试题,https://zhuanlan.zhihu.com/p/369315797
106,如何降低确定「记忆化容器大小」的思维难度 & 利用「对偶性质」构造有效状态值,https://zhuanlan.zhihu.com/p/368921825
107,【动态规划/背包问题】站在更高的角度看待一般性的背包问题一维空间优化,https://zhuanlan.zhihu.com/p/368644031
108,【综合笔试题】难度 1/5，一道经典的「求和最大的定长子数组」问题,https://zhuanlan.zhihu.com/p/368378112
109,【综合笔试题】难度 2/5，一道笔试 O(nlogn)，面试 O(n) 的经典题,https://zhuanlan.zhihu.com/p/367549046
110,【面试高频系列】具有多种解法的简单题，最优解难度属于 Hard 级别,https://zhuanlan.zhihu.com/p/367548687
111,一文详解 KMP,https://zhuanlan.zhihu.com/p/366464952
112,【面试高频系列】可逐层递进的经典题，以及如何根据「数据范围」调整使用何种算法,https://zhuanlan.zhihu.com/p/366294060
113,【动态规划/背包问题】强化利用「等差」特性推导「完全背包」的核心要素,https://zhuanlan.zhihu.com/p/365656977
114,【综合笔试题】难度 4/5，一道结合了「二分」的图论题,https://zhuanlan.zhihu.com/p/365214905
115,【必背模板】字符串匹配问题的通用解法：KMP 算法 ...,https://zhuanlan.zhihu.com/p/365042393
116,实现 Trie :「二维数组」&「TrieNode」方式,https://zhuanlan.zhihu.com/p/365040732
117,【综合笔试题】难度 3/5，为啥是图论不是 DP，两者是什么关系？,https://zhuanlan.zhihu.com/p/364923234
118,【面试高频系列】可逐步优化的前缀和面试题,https://zhuanlan.zhihu.com/p/364922677
119,一题双解：优先队列 & 多路归并,https://zhuanlan.zhihu.com/p/363905239
120,简单的分情况讨论题，以及为啥先除哪个都可以,https://zhuanlan.zhihu.com/p/363904504
121,【动态规划/背包问题】从数学角度推导「完全背包」与「01 背包」之间的遍历顺序关系,https://zhuanlan.zhihu.com/p/363903203
122,【综合笔试题】难度 3/5，一道考察三个知识点的综合笔试题 ...,https://zhuanlan.zhihu.com/p/363480952
123,【面试高频系列】从一道经典题分享「二分模板」&「倍增乘法」...,https://zhuanlan.zhihu.com/p/363220929
124,【面试高频系列】生成所有「有效括号」，以及如何考虑「成对组合生成」问题 ..,https://zhuanlan.zhihu.com/p/362732955
125,【面试高频系列】一道可以考察「二分」本质的面试题 ...,https://zhuanlan.zhihu.com/p/362130248
126,【面试高频系列】考察对「二分」的理解，以及 check 函数的「大于 小于」怎么写 ...,https://zhuanlan.zhihu.com/p/362130010
127,【面试高频系列】既能考察对「数据结构」的掌握，还能考察对「递归函数」的设计 ...,https://zhuanlan.zhihu.com/p/361691799
128,【面试高频系列】一道结合「简单数据结构 & 简单算法」的面试题 ...,https://zhuanlan.zhihu.com/p/361611079
129,【动态规划/背包问题】从「最多不超过」到「恰好」，换个角度来理解「背包问题」...,https://zhuanlan.zhihu.com/p/361610503
130,【动态规划/背包问题】如何将原问题抽象为「01 背包」问题 ...,https://zhuanlan.zhihu.com/p/361609617
131,【动态规划/背包问题】那就从 0-1 背包问题开始讲起吧 ...,https://zhuanlan.zhihu.com/p/360412097
132,【设计数据结构】面试官：请用「一个数组」实现「三个栈」...,https://zhuanlan.zhihu.com/p/360029688
133,【科学派 DP】一份「路径问题从入门到进阶」的究极指南 ...,https://zhuanlan.zhihu.com/p/359865517
134,【动态规划/路径问题】用一道综合 DP 题来打开「路径问题」最终章 ...,https://zhuanlan.zhihu.com/p/359373279
135,【设计数据结构】面试官：请设计一个「最小栈」...,https://zhuanlan.zhihu.com/p/359115900
136,【设计数据结构】面试官：请用栈实现队列 ...,https://zhuanlan.zhihu.com/p/358799841
137,【设计数据结构】面试官：用队列实现栈 ...,https://zhuanlan.zhihu.com/p/358799663
138,【动态规划/路径问题】强化忽略「状态定义」&「转移方程」来求解 DP 的「技巧解法」 ...,https://zhuanlan.zhihu.com/p/358388254
139,【设计数据结构】面试官：请设计一个简单的 HashMap ...,https://zhuanlan.zhihu.com/p/357896497
140,【设计数据结构】面试官：请设计一个简单的 HashSet ...,https://zhuanlan.zhihu.com/p/357875636
141,【动态规划/路径问题】如何忽略「状态定义」&「转移方程」来实现动态规划 ...,https://zhuanlan.zhihu.com/p/357463966
142,【动态规划/路径问题】「动态规划」的前置思考「记忆化搜索」，以及如何推导基本性质来简化 Base Case ...,https://zhuanlan.zhihu.com/p/357373330
143,【动态规划/路径问题】本系列的首道 Hard ，使用有限变量来代替遍历查找 ...,https://zhuanlan.zhihu.com/p/356912210
144,【动态规划/路径问题】「最小路径和」问题的再变形 & 代入解题的注意点 ...,https://zhuanlan.zhihu.com/p/356788171
145,【动态规划/路径问题】变形「最小路径和」问题 & 常见 DP 空间优化技巧 ...,https://zhuanlan.zhihu.com/p/356459864
146,【动态规划/路径问题】进阶「最小路径和」问题 ...,https://zhuanlan.zhihu.com/p/356380959
147,【动态规划/路径问题】强化 DP 分析方法练习题 ...,https://zhuanlan.zhihu.com/p/355801809
148,【动态规划/总结必看】从一道入门题与你分享关于 DP 的分析技巧 ...,https://zhuanlan.zhihu.com/p/355766290
149,「两次遍历」要比「一次遍历」要慢 ... 为啥呀？为啥呀？？,https://zhuanlan.zhihu.com/p/355765008
150,【回溯算法】经典题：求目标和的组合方案 ...,https://zhuanlan.zhihu.com/p/355419387
151,【回溯算法】借助最后一道「组合总和」问题来总结一下回溯算法 ...,https://zhuanlan.zhihu.com/p/355075516
152,【回溯算法】求目标和的组合方案（升级篇）,https://zhuanlan.zhihu.com/p/354664352
153,【数独问题】经典面试题：解数独 ...,https://zhuanlan.zhihu.com/p/354110789
154,【数独问题】入门题：判断一个数独是否有效 ...,https://zhuanlan.zhihu.com/p/354110463
155,【答疑点评必看】如何从「数据范围」中找到解题「突破口」...,https://zhuanlan.zhihu.com/p/353610140
156,面试官：简单题我也得问出新花样 ...,https://zhuanlan.zhihu.com/p/353312384
157,利用「快慢指针」求解经典链表题：删除倒数第 N 个结点 ...,https://zhuanlan.zhihu.com/p/353244492
158,这道 Hard 到底难在哪里？大概是难在考察的全是违反“人性直觉”的内容吧 ...,https://zhuanlan.zhihu.com/p/353235205
159,双指针高频面试题：三数之和的「升级篇」...,https://zhuanlan.zhihu.com/p/352901202
160,利用「快慢指针」求解经典链表题：删除倒数第 N 个结点 ...,https://zhuanlan.zhihu.com/p/352899214
161,从一道「回溯算法」经典题与你分享回溯算法的基本套路 ..,https://zhuanlan.zhihu.com/p/352716386
162,双指针高频面试题：「三数之和」的姐妹篇 ...,https://zhuanlan.zhihu.com/p/352715952
163,一道好题！我觉得面试如果考察「双指针」的话，这题是刚刚好 ...,https://zhuanlan.zhihu.com/p/352466670
164,从 O(NlogN) 到 O(N) 的优化：「二分滑动窗口」& 「双指针」 ...,https://zhuanlan.zhihu.com/p/352255249
165,LeetCode 第 46 场双周赛题解,https://zhuanlan.zhihu.com/p/351935707
166,你真的了解什么是「暴力解法」吗 ...,https://zhuanlan.zhihu.com/p/351469368
167,如何根据「数据范围」调整自己用什么算法 ...,https://zhuanlan.zhihu.com/p/351468764
168,【刷穿 LeetCode】高频面试题：模拟乘法 ...,https://zhuanlan.zhihu.com/p/351081941
169,【刷穿 LeetCode】从一道简单「贪心」题入手，教你如何用反证法进行证明 ...,https://zhuanlan.zhihu.com/p/351002887
170,【刷穿 LeetCode】又是一道高频「双指针」面试题 ...,https://zhuanlan.zhihu.com/p/351002622
171,深度讲解背包问题：面试中每五道动态规划就有一道是背包模型 ...,https://zhuanlan.zhihu.com/p/350892562
172,LeetCode 第 227 场周赛题解,https://zhuanlan.zhihu.com/p/350882656
173,【刷穿 LeetCode】一个思路同时解决 “简单” 和 “困难” 题,https://zhuanlan.zhihu.com/p/350882306
174,【刷穿 LeetCode】为什么情侣可以这样牵手？,https://zhuanlan.zhihu.com/p/350881947
175,【Top K】问题的多种解法：冒泡排序 & 快速排序 & 优先队列 ...,https://zhuanlan.zhihu.com/p/350483681
176,【刷穿 LeetCode】42. 接雨水（困难）,https://zhuanlan.zhihu.com/p/350357548
177,【刷穿 LeetCode】41. 缺失的第一个正数（困难）,https://zhuanlan.zhihu.com/p/350357119
178,【刷穿 LeetCode】40. 组合总和 II（中等）,https://zhuanlan.zhihu.com/p/350356636
179,【刷穿 LeetCode】39. 组合总和（中等）,https://zhuanlan.zhihu.com/p/350356491
180,【刷穿 LeetCode】38. 外观数列（简单）,https://zhuanlan.zhihu.com/p/350356237
181,【刷穿 LeetCode】992. K 个不同整数的子数组（困难）,https://zhuanlan.zhihu.com/p/350273946
182,【刷穿 LeetCode】37. 解数独（困难）,https://zhuanlan.zhihu.com/p/350173986
183,【刷穿 LeetCode】36. 有效的数独（中等）,https://zhuanlan.zhihu.com/p/350173685
184,【刷穿 LeetCode】35. 搜索插入位置（简单）,https://zhuanlan.zhihu.com/p/350173440
185,【刷穿 LeetCode】34. 在排序数组中查找元素的第一个和最后一个位置（中等）,https://zhuanlan.zhihu.com/p/350172144
186,【刷穿 LeetCode】33. 搜索旋转排序数组（中等）,https://zhuanlan.zhihu.com/p/350171749
187,【刷穿 LeetCode】32. 最长有效括号（困难）,https://zhuanlan.zhihu.com/p/350171589
188,【刷穿 LeetCode】31. 下一个排列（中等）,https://zhuanlan.zhihu.com/p/350171198
189,【刷穿 LeetCode】30. 串联所有单词的子串（困难）,https://zhuanlan.zhihu.com/p/350170909
190,【刷穿 LeetCode】1423. 可获得的最大点数（中等）,https://zhuanlan.zhihu.com/p/350097352
191,【刷穿 LeetCode】978. 最长湍流子数组（中等）,https://zhuanlan.zhihu.com/p/350096856
192,【刷穿 LeetCode】29. 两数相除（中等）,https://zhuanlan.zhihu.com/p/350096113
193,【刷穿 LeetCode】28. 实现 strStr()（简单）,https://zhuanlan.zhihu.com/p/350095625
194,【刷穿 LeetCode】27. 移除元素（简单）,https://zhuanlan.zhihu.com/p/350095334
195,【刷穿 LeetCode】26. 删除排序数组中的重复项（简单）,https://zhuanlan.zhihu.com/p/350095082
196,【刷穿 LeetCode】25. K 个一组翻转链表（困难）,https://zhuanlan.zhihu.com/p/350074382
197,【刷穿 LeetCode】24. 两两交换链表中的节点（中等）,https://zhuanlan.zhihu.com/p/350073965
198,【刷穿 LeetCode】23. 合并K个升序链表（困难）,https://zhuanlan.zhihu.com/p/350073742
199,【刷穿 LeetCode】22. 括号生成（中等）,https://zhuanlan.zhihu.com/p/350073488
200,【刷穿 LeetCode】21. 合并两个有序链表（简单）,https://zhuanlan.zhihu.com/p/350073003
201,【刷穿 LeetCode】20. 有效的括号（简单）,https://zhuanlan.zhihu.com/p/350072600
202,【刷穿 LeetCode】19. 删除链表的倒数第 N 个结点（中等）,https://zhuanlan.zhihu.com/p/350072124
203,LeetCode 第 45 场双周赛题解,https://zhuanlan.zhihu.com/p/349990860
204,【刷穿 LeetCode】18. 四数之和（中等）,https://zhuanlan.zhihu.com/p/349185323
205,【刷穿 LeetCode】16. 最接近的三数之和（中等）,https://zhuanlan.zhihu.com/p/349175533
206,【刷穿 LeetCode】15. 三数之和（中等）,https://zhuanlan.zhihu.com/p/349175134
207,【刷穿 LeetCode】14. 最长公共前缀（简单）,https://zhuanlan.zhihu.com/p/349174830
208,【刷穿 LeetCode】13. 罗马数字转整数（简单）,https://zhuanlan.zhihu.com/p/349174100
209,【刷穿 LeetCode】12. 整数转罗马数字（中等）,https://zhuanlan.zhihu.com/p/349171521
210,【刷穿 LeetCode】11. 盛最多水的容器（中等）,https://zhuanlan.zhihu.com/p/349170295
211,【刷穿 LeetCode】10. 正则表达式匹配（困难）,https://zhuanlan.zhihu.com/p/349061270
212,【刷穿 LeetCode】9. 回文数（简单）,https://zhuanlan.zhihu.com/p/349060298
213,【刷穿 LeetCode】8. 字符串转换整数 (atoi),https://zhuanlan.zhihu.com/p/349059389
214,【刷穿 LeetCode】7. 整数反转,https://zhuanlan.zhihu.com/p/349058215
215,【刷穿 LeetCode】6. Z 字形变换,https://zhuanlan.zhihu.com/p/349056978
216,【刷穿 LeetCode】5. 最长回文子串（中等）,https://zhuanlan.zhihu.com/p/349056322
217,【刷穿 LeetCode】4. 寻找两个正序数组的中位数（困难）,https://zhuanlan.zhihu.com/p/349055795
218,【刷穿 LeetCode】2. 两数相加（中等）,https://zhuanlan.zhihu.com/p/349054589
219,【刷穿 LeetCode】3. 无重复字符的最长子串（中等）,https://zhuanlan.zhihu.com/p/348817577
220,【刷穿 LeetCode】1. 两数之和（简单）,https://zhuanlan.zhihu.com/p/348814038
